,gdasCont,kor,kor_num,keyword,gdasScrVal,mbrNo,goodsNm
0,진정도 잘 되고 나쁘지 않아용 재구매 의사 있아요  금방 쓰김 하지만    좋아요 ,진정도 잘 되고 나쁘지 않아용 재구매 의사 있아요  금방 쓰김 하지만    좋아요 ,4.0,있아 진정 의사 구매,10.0,M0000012102162,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
1,진짜 좋아요 토너팩하기도 얇아서 좋고 붙여두고 떼면 딱 수분만 먹히는 느낌이에요,진짜 좋아요 토너팩하기도 얇아서 좋고 붙여두고 떼면 딱 수분만 먹히는 느낌이에요,3.0,수분 토너 느낌,6.0,M0000011553228,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
2,화장전에 양쪽 볼에 붙여주면 좋아요 백개 더 잇어서 막 써도 좋음,화장전에 양쪽 볼에 붙여주면 좋아요 백개 더 잇어서 막 써도 좋음,2.0,화장 양쪽,10.0,M0000016711724,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
3,계속 사용해보니까 트러블도 진정되고 제 피부에 잘 맞습니다 다 쓰면 리필 또 사려구용,계속 사용해보니까 트러블도 진정되고 제 피부에 잘 맞습니다 다 쓰면 리필 또 사려구용,4.0,트러블 피부 사용 리필,8.0,M0000019514613,[선우PICK]메디힐 티트리 진정 패드 100매
4,벌써 2번째 구매  일단 가격대비 양도 많고 피부에도 좋고 딱이네요  근데 천   패드라고 해야하나  좀 거칠긴 한데 그래도 피부에 심하게 자극은 안 오더라구요    적극 추천입니다,벌써 2번째 구매  일단 가격대비 양도 많고 피부에도 좋고 딱이네요  근데 천   패드라고 해야하나  좀 거칠긴 한데 그래도 피부에 심하게 자극은 안 오더라구요    적극 추천입니다,9.0,피부 추천 패드 구매 자극 양도 적극 가격 대비,10.0,M0000019320995,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
5,쎄일해서 구매했습니다 어성초 쓰다 갈아탔는데 두제품 다 괜찮습니다,쎄일해서 구매했습니다 어성초 쓰다 갈아탔는데 두제품 다 괜찮습니다,3.0,구매 쎄일 제품,10.0,M0000017132664,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
6,토너팩 간단하게 하디 너무 좋고 닦토로 사용해도 좋아용   ,토너팩 간단하게 하디 너무 좋고 닦토로 사용해도 좋아용   ,4.0,닦토 하디 토너 사용,10.0,M0000017991653,[선우PICK]메디힐 티트리 진정 패드 100매
7,늘쓰는거고 얼굴에뭐안나서좋아요 다좋은것같아요 리필따로팔았으면,늘쓰는거고 얼굴에뭐안나서좋아요 다좋은것같아요 리필따로팔았으면,2.0,리필 얼굴,10.0,M0000021790822,[선우PICK]메디힐 티트리 진정 패드 100매
8,네모 모양이 은근 좋은 것 같아요 스킨팩하기 좋았구요 어떠한 효과가 있기 보다는 정말 무난한 스킨패드였습니다,네모 모양이 은근 좋은 것 같아요 스킨팩하기 좋았구요 어떠한 효과가 있기 보다는 정말 무난한 스킨패드였습니다,6.0,스킨 패드 효과 모양 네모 은근,8.0,M0000017045322,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
9,확실히 집게도 크고 패드도 커서 갠차는것 같아요ㅎㅎ굿굿재구매의사있음,확실히 집게도 크고 패드도 커서 갠차는것 같아요ㅎㅎ굿굿재구매의사있음,4.0,구매 의사 집게 패드,6.0,M0000003347569,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
10,세안하고 머리말릴때 일반 마스크팩 붙이고 머리말리면 머리카락이 달라붙어서 불편했는데 이 제품은 쿨링   적당한 수분   지정이 되는 느낌이라 되게 잘 쓰고있어요  매디힐 티트리라인은 워낙 유명하고 홍조있는 부분이나 진정이 필요한 부분에 붙이고있으면 좋아요 ,세안하고 머리말릴때 일반 마스크팩 붙이고 머리말리면 머리카락이 달라붙어서 불편했는데 이 제품은 쿨링   적당한 수분   지정이 되는 느낌이라 되게 잘 쓰고있어요  매디힐 티트리라인은 워낙 유명하고 홍조있는 부분이나 진정이 필요한 부분에 붙이고있으면 좋아요 ,18.0,마스크 머리카락 제품 홍조 머리 수분 진정 불편 부분 세안 유명 느낌 트리 라인 지정 필요 매디힐 일반,10.0,M0000016320732,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
11,기본템이라는 생각이 들어요  드라마틱한 진정효과는 아니었지만 얼굴에 열 올랐을 때 내리기 좋습니다,기본템이라는 생각이 들어요  드라마틱한 진정효과는 아니었지만 얼굴에 열 올랐을 때 내리기 좋습니다,6.0,얼굴 진정 효과 기본 드라마틱 생각,8.0,M0000020399811,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
12,진짜 너무 좋아요 촉촉하고 팩처럼 붙이기 좋고   깔끔하게되잇어서 좋아요,진짜 너무 좋아요 촉촉하고 팩처럼 붙이기 좋고   깔끔하게되잇어서 좋아요,1.0,깔끔,10.0,M0000013883224,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
13,너무 좋아요 팩처럼 붙이고 잇는데 너무 촉촉하고 순해요  ,너무 좋아요 팩처럼 붙이고 잇는데 너무 촉촉하고 순해요  ,0.0,,10.0,M0000013883224,[선우PICK]메디힐 티트리 진정 패드 100매
14,얇아서 얼굴에 잘 붙어있어서 좋아요   자극없이 순한 것 같아요 ,얇아서 얼굴에 잘 붙어있어서 좋아요   자극없이 순한 것 같아요 ,2.0,얼굴 자극,10.0,M0000017208233,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
15,얇아서 잘 붙어있어서 좋아요  붙여놓고 머리 말리기 좋은 것 같아요,얇아서 잘 붙어있어서 좋아요  붙여놓고 머리 말리기 좋은 것 같아요,1.0,머리,10.0,M0000017208233,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
16,이거 진짜 피부 진정에 좋아요  제 피부가 되게 예민해서 화장품을 함부로 못 쓰는 편인데 어느날 팩 하고 트러블이 나서 이걸로 팩처럼 10분정도 올려두니까 이틀 정도 지나니까 진정되더라고요  그리고 그냥 솜이 아니라 거즈  같은 거라서 가볍고 팩으로 쓰기도 다 좋았던 거 같아요 ,이거 진짜 피부 진정에 좋아요  제 피부가 되게 예민해서 화장품을 함부로 못 쓰는 편인데 어느날 팩 하고 트러블이 나서 이걸로 팩처럼 10분정도 올려두니까 이틀 정도 지나니까 진정되더라고요  그리고 그냥 솜이 아니라 거즈  같은 거라서 가볍고 팩으로 쓰기도 다 좋았던 거 같아요 ,7.0,피부 화장품 정도 이틀 진정 트러블 거즈,10.0,M0000013354336,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
17,넘 좋아요 평소에도 잘 쓰고 있습니다 가격도 착해요 감사합니다,넘 좋아요 평소에도 잘 쓰고 있습니다 가격도 착해요 감사합니다,3.0,평소 감사 가격,10.0,M0000012365495,[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)
18,진정이 잘 되는지는 모르겠는데 확실히 쓰면 피부가 정돈 되는 느낌이 들긴함,진정이 잘 되는지는 모르겠는데 확실히 쓰면 피부가 정돈 되는 느낌이 들긴함,4.0,피부 느낌 진정 정돈,6.0,M0000020614742,[선우PICK]메디힐 티트리 진정 패드 100매
