userId,top_5_name,prediction_rate
M0000012102162,"['[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', 'C07', 'C08', '크리넥스 99.9% 항균 안심물티슈 10매', '3CE 무드레시피 매트 립 컬러']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000011553228,"['[선우PICK]메디힐 티트리 진정 패드 100매', 'C08""', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1']","[1.0, 1.0, 1.0, 1.0, 0.9999997615814209]"
M0000016711724,"['[선우PICK]메디힐 티트리 진정 패드 100매', 'C05""', '에뛰드 컬픽스 마스카라 ', 'C08""', '에스리턴 프로틴 브라우니바 초코 50g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000019514613,"['C08""', '바이오티 마시는 프리바이오틱스 애플소다 350ml', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', 'C10""']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000019320995,"['칼파제르 밀크 초콜릿150g', '칼파제르 다크 초콜릿 70% 150g', 'C04', '에뛰드 컬픽스 마스카라 ', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000017132664,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', 'C08""', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', 'C04', '3CE 무드레시피 매트 립 컬러']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000017991653,"['아크네스 3초 진정 패치 2종 택1', 'C06""', '에뛰드 컬픽스 마스카라 ', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', '마요라 코피코 커피맛캔디 블리스터 32g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000021790822,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '에뛰드 컬픽스 마스카라 ', '에스리턴 프로틴 브라우니바 초코 50g', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000017045322,"['칼파제르 밀크 초콜릿150g', 'C08', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003347569,"['라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '고려은단 알티지 오메가3 60캡슐 (60일분)', '칼파제르 다크 초콜릿 70% 150g', '칼파제르 밀크 초콜릿150g', 'C07']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000016320732,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '필리밀리 손톱깎이 (S)', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000020399811,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '칼파제르 밀크 초콜릿150g', 'C06', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000013883224,"['C03', '칼파제르 셀렉션 초콜릿150g', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', 'C04', '[1+1기획]페리페라 잉크블랙카라']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000017208233,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '칼파제르 셀렉션 초콜릿150g', 'C06""']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000013354336,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', 'C06', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '에뛰드 컬픽스 마스카라 ', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000012365495,"['[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', 'C05', 'C04', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000020614742,"['C06', '크리넥스 99.9% 항균 안심물티슈 10매', '칼파제르 셀렉션 초콜릿150g', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '[1+1기획]페리페라 잉크블랙카라']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000016017452,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '덴티스테 민트볼 20입', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', 'C02']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000018225780,"['C11""', '에뛰드 컬픽스 마스카라 ', '바이오티 마시는 프리바이오틱스 애플소다 350ml', 'C05', '에스리턴 프로틴 브라우니바 초코 50g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000010820672,"['크리넥스 99.9% 항균 안심물티슈 10매', '레이즈 클래식 감자칩 42.5g', '칼파제르 셀렉션 초콜릿150g', 'C09', '칼파제르 밀크 초콜릿150g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003843709,"['아크네스 3초 진정 패치 2종 택1', '레이즈 클래식 감자칩 42.5g', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000011644406,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '헌터스 블랙 트러플칩 25g', '필리밀리 손톱깎이 (S)', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '3CE 무드레시피 매트 립 컬러']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003280099,"['[선우PICK]메디힐 티트리 진정 패드 100매', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '덴티스테 민트볼 20입', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000011558556,"['에스리턴 프로틴 브라우니바 초코 50g', 'C02', '3CE 무드레시피 매트 립 컬러', '바이오티 마시는 프리바이오틱스 애플소다 350ml', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003446092,"['C03', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', 'C09', 'C05""', '마요라 코피코 커피맛캔디 블리스터 32g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000018746176,"['아크네스 3초 진정 패치 2종 택1', 'C10""', '마요라 코피코 커피맛캔디 블리스터 32g', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000011679110,"['[선우PICK]메디힐 티트리 진정 패드 100매', '레이즈 클래식 감자칩 42.5g', '마요라 코피코 커피맛캔디 블리스터 32g', '칼파제르 다크 초콜릿 70% 150g', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000019947362,"['[선우PICK]메디힐 티트리 진정 패드 100매', 'C09""', '필리밀리 손톱깎이 (S)', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000002396561,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '고려은단 알티지 오메가3 60캡슐 (60일분)', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', 'C09""', 'C10""']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003635973,"['[선우PICK]메디힐 티트리 진정 패드 100매', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', '[NEW] 무지개맨션 아이시 글로우', '바이오티 마시는 프리바이오틱스 애플소다 350ml']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000016788424,"['아크네스 3초 진정 패치 2종 택1', '고려은단 알티지 오메가3 60캡슐 (60일분)', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', '티타니아 샌드풋파일', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000014676074,"['아크네스 3초 진정 패치 2종 택1', '3CE 무드레시피 매트 립 컬러', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '티타니아 샌드풋파일']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000019414903,"['[선우PICK]메디힐 티트리 진정 패드 100매', 'C05""', '티타니아 샌드풋파일', '크리넥스 99.9% 항균 안심물티슈 10매', '바이오티 마시는 프리바이오틱스 애플소다 350ml']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000017614720,"['[선우PICK]메디힐 티트리 진정 패드 100매', '딜라이트 프로젝트 프로틴 브라우니/카스테라칩 ', '레이즈 클래식 감자칩 42.5g', '마요라 코피코 커피맛캔디 블리스터 32g', '칼파제르 밀크 초콜릿150g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000010991729,"['[선우PICK]메디힐 티트리 진정 패드 100매', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', '에스리턴 프로틴 브라우니바 초코 50g', '덴티스테 민트볼 20입', '레이즈 클래식 감자칩 42.5g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000013372209,"['헌터스 화이트 트러플칩 25g', 'C08', 'C08""', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000012461153,"['칼파제르 다크 초콜릿 70% 150g', 'C08', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '[1+1기획]페리페라 잉크블랙카라', '에스리턴 프로틴 브라우니바 초코 50g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000004747756,"['C06', '3CE 무드레시피 매트 립 컬러', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '헌터스 블랙 트러플칩 25g', '칼파제르 밀크 초콜릿150g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000015558162,"['바이오티 마시는 프리바이오틱스 애플소다 350ml', '필리밀리 코털가위', 'C04', '티타니아 샌드풋파일', '[1+1기획]페리페라 잉크블랙카라']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000012192479,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', 'C07', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', 'C05']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003666532,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '덴티스테 민트볼 20입', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '바이오티 마시는 프리바이오틱스 애플소다 350ml']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000001534639,"['아크네스 3초 진정 패치 2종 택1', '[NEW] 무지개맨션 아이시 글로우', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', 'C09""', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003758958,"['C05""', 'C04', '레이즈 클래식 감자칩 42.5g', '[1+1기획]페리페라 잉크블랙카라', 'C10""']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000011532012,"['3CE 무드레시피 매트 립 컬러', '마요라 코피코 커피맛캔디 블리스터 32g', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', 'C03']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000017746998,"['스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '덴티스테 민트볼 20입', '에스리턴 프로틴 브라우니바 초코 50g', '로아커 미니스 믹스 15입 150g', 'C06""']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000020707121,"['필리밀리 손톱깎이 (S)', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', 'C04', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000014686273,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', 'C06""', '바이오티 마시는 프리바이오틱스 애플소다 350ml', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '티타니아 샌드풋파일']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000017340410,"['스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', 'C06', '필리밀리 손톱깎이 (S)', 'C05""', '3CE 무드레시피 매트 립 컬러']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000010104447,"['칼파제르 셀렉션 초콜릿150g', 'C09""', '3CE 무드레시피 매트 립 컬러', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000021457644,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', 'C09""', '필리밀리 손톱깎이 (S)', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003696496,"['[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)', '고려은단 알티지 오메가3 60캡슐 (60일분)', 'C09', '헌터스 블랙 트러플칩 25g', '티타니아 샌드풋파일']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000010821228,"['C11""', '티타니아 샌드풋파일', 'C09', 'C05""', '헌터스 블랙 트러플칩 25g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003829312,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', 'C09', '헌터스 블랙 트러플칩 25g', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000000765412,"['C08', 'C09', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', 'C02', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000015079965,"['칼파제르 셀렉션 초콜릿150g', '로아커 미니스 믹스 15입 150g', 'C05""', '헌터스 화이트 트러플칩 25g', '[NEW] 무지개맨션 아이시 글로우']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000019316484,"['[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)', 'C09', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', '에뛰드 컬픽스 마스카라 ']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000003475266,"['히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', '헌터스 화이트 트러플칩 25g', 'C08', '필리밀리 손톱깎이 (S)', 'C05']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000011361683,"['아크네스 3초 진정 패치 2종 택1', 'C05""', '필리밀리 손톱깎이 (S)', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '3CE 무드레시피 매트 립 컬러']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000016804497,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', 'C02', 'C06""']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000018690709,"['[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)', 'C09', '필리밀리 손톱깎이 (S)', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000021940402,"['[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '필리밀리 손톱깎이 (S)', '레이즈 클래식 감자칩 42.5g', '칼파제르 밀크 초콜릿150g', '크리넥스 99.9% 항균 안심물티슈 10매']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000015144655,"['[선우PICK]메디힐 티트리 진정 패드 100매', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', '레이즈 클래식 감자칩 42.5g', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '필리밀리 코털가위']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000017881166,"['아크네스 3초 진정 패치 2종 택1', '에뛰드 컬픽스 마스카라 ', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', '칼파제르 밀크 초콜릿150g', '칼파제르 셀렉션 초콜릿150g']","[1.0, 1.0, 1.0, 1.0, 1.0]"
M0000004636979,"['[선우PICK]메디힐 티트리 진정 패드 더블 기획 (100매+100매 리필)', '헌터스 블랙 트러플칩 25g', '3CE 무드레시피 매트 립 컬러', '[NEW컬러출시]에뛰드 픽싱 틴트(로즈라일락)', '에뛰드 컬픽스 마스카라 ']","[1.0, 1.0, 1.0, 1.0, 1.0]"
