userId,top_5_name,prediction_rate
M0000012102162,"['W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', '크리넥스 99.9% 항균 안심물티슈 10매', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '로아커 미니스 믹스 15입 150g']","[0.9999339580535889, 0.997963547706604, 0.9976529479026794, 0.9907845258712769, 0.9839887022972107]"
M0000011553228,"['필리밀리 코털가위', '에스리턴 프로틴 브라우니바 초코 50g', '[선우PICK]메디힐 티트리 진정 패드 100매', 'C05""', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)']","[0.9999599456787109, 0.9996285438537598, 0.9992665648460388, 0.9991247057914734, 0.997607946395874]"
M0000016711724,"['크리넥스 99.9% 항균 안심물티슈 10매', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', 'C10""', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '마요라 코피코 커피맛캔디 블리스터 32g']","[0.9998981952667236, 0.9989520311355591, 0.997589111328125, 0.9935550093650818, 0.9917964935302734]"
M0000019514613,"['밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', 'C08""', 'C05', '에뛰드 컬픽스 마스카라 ', '헌터스 화이트 트러플칩 25g']","[1.0, 0.9999996423721313, 0.9999791383743286, 0.9997919201850891, 0.9984209537506104]"
M0000019320995,"['칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '필리밀리 손톱깎이 (S)', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', '칼파제르 셀렉션 초콜릿150g', 'C09""']","[0.9996138215065002, 0.9995367527008057, 0.9994041919708252, 0.9988359808921814, 0.9953611493110657]"
M0000017132664,"['필리밀리 코털가위', 'C08', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '레이즈 클래식 감자칩 42.5g', '[NEW] 무지개맨션 아이시 글로우']","[1.0, 0.9999066591262817, 0.9997109770774841, 0.9981221556663513, 0.9966102242469788]"
M0000017991653,"['필리밀리 코털가위', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', 'C03', 'C09""', 'C06']","[0.9995847344398499, 0.9995172023773193, 0.9989429116249084, 0.9982278943061829, 0.9981274008750916]"
M0000021790822,"['W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', '[1+1기획]페리페라 잉크블랙카라', 'C11""', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g']","[0.9999998807907104, 0.999998927116394, 0.999982476234436, 0.9998509883880615, 0.999492883682251]"
M0000017045322,"['C10""', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '[선우PICK]메디힐 티트리 진정 패드 100매', '3CE 무드레시피 매트 립 컬러', '[1+1기획]페리페라 잉크블랙카라']","[0.999733030796051, 0.9995794892311096, 0.9991911053657532, 0.99751877784729, 0.9957566857337952]"
M0000003347569,"['[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', 'C05', '로아커 미니스 믹스 15입 150g', 'C10""']","[0.9999985694885254, 0.999997615814209, 0.999984860420227, 0.9998983144760132, 0.9991705417633057]"
M0000016320732,"['[선우PICK]메디힐 티트리 진정 패드 100매', '레이즈 클래식 감자칩 42.5g', '덴티스테 민트볼 20입', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1']","[0.9999996423721313, 0.9999754428863525, 0.9999545812606812, 0.9998111128807068, 0.999788224697113]"
M0000020399811,"['[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', 'C05""', '헌터스 블랙 트러플칩 25g', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1']","[1.0, 0.9999948740005493, 0.9999382495880127, 0.9994294047355652, 0.9983277916908264]"
