userId,top_5_name,prediction_rate
M0000012102162,"['3CE 무드레시피 매트 립 컬러', 'C02', '라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '레이즈 클래식 감자칩 42.5g', '티타니아 샌드풋파일']","[1.0, 1.0, 0.9999959468841553, 0.9996727705001831, 0.9996070265769958]"
M0000011553228,"['C06""', '[선우PICK]메디힐 티트리 진정 패드 100매', '덴티스테 민트볼 20입', 'C03', '에스리턴 프로틴 브라우니바 초코 50g']","[1.0, 0.9999867677688599, 0.9999111890792847, 0.9970190525054932, 0.994906485080719]"
M0000016711724,"['라이아 탈모증상완화 프로알테인 단백질 샴푸400ml+트리트먼트200ml 기획세트', '레이즈 클래식 감자칩 42.5g', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '고려은단 알티지 오메가3 60캡슐 (60일분)', 'C07']","[0.9999957084655762, 0.9998557567596436, 0.9997184872627258, 0.999467670917511, 0.9981622099876404]"
M0000019514613,"['아크네스 3초 진정 패치 2종 택1', 'C09""', '필리밀리 코털가위', 'C11""', 'C10""']","[0.9999998807907104, 0.9999998807907104, 0.9999955892562866, 0.9999899864196777, 0.9997496008872986]"
M0000019320995,"['[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1', '칼파제르 다크 초콜릿 70% 150g', '보로탈코 크레마 벨루탄테 크림 2종 택 1(30ml/150ml)', '에스리턴 프로틴 브라우니바 초코 50g', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)']","[0.9999905824661255, 0.9999862909317017, 0.9998959302902222, 0.9994500279426575, 0.9991993308067322]"
M0000017132664,"['C06""', 'C03', '[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', '아이디얼 포맨 프레시 올인원 기획 (본품150ml+50ml 증정)', '마요라 코피코 커피맛캔디 블리스터 32g']","[1.0, 0.9971635937690735, 0.996461808681488, 0.9963307976722717, 0.9956835508346558]"
M0000017991653,"['C04', '크리넥스 99.9% 항균 안심물티슈 10매', '밀크바오밥 퍼퓸 바디워시 화이트머스크 500ml', '헌터스 화이트 트러플칩 25g', '칼파제르 밀크 초콜릿150g']","[1.0, 1.0, 0.9999988079071045, 0.9999986886978149, 0.999704897403717]"
M0000021790822,"['[1+1기획]페리페라 잉크블랙카라', 'C05', 'C11""', '히말라야 핑크솔트 담은 칫솔 부드러운 초극세모 1입 (색상랜덤)', '칼파제르 다크 초콜릿 70% 150g']","[0.9999995231628418, 0.9996780157089233, 0.9996320009231567, 0.9996063113212585, 0.9996011853218079]"
M0000017045322,"['칼파제르 밀크 초콜릿150g', 'C06""', '칼파제르 셀렉션 초콜릿150g', 'C02', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입']","[0.999962568283081, 0.9998900890350342, 0.9997393488883972, 0.9942339062690735, 0.9844676852226257]"
M0000003347569,"['C05', '[선우PICK]메디힐 티트리 진정 패드 100매', '스카이보틀 퍼퓸 핸드크림 50ml 5종 택1', '필리밀리 코털가위', '칼파제르 다크 초콜릿 70% 150g']","[1.0, 0.9999990463256836, 0.9999922513961792, 0.9997870326042175, 0.9990125894546509]"
M0000016320732,"['티타니아 샌드풋파일', '마요라 코피코 커피맛캔디 블리스터 32g', '3CE 무드레시피 매트 립 컬러', '[단독기획] 쏘피 유기농 라베르플랑 생리대 중형 22개입', '고려은단 알티지 오메가3 60캡슐 (60일분)']","[1.0, 1.0, 1.0, 1.0, 0.9999927282333374]"
M0000020399811,"['C05""', '[NEW] 무지개맨션 아이시 글로우', 'C08""', '마요라 코피코 커피맛캔디 블리스터 32g', '필리밀리 코털가위']","[1.0, 1.0, 0.9999998807907104, 0.9999960660934448, 0.999975323677063]"
M0000013883224,"['바이오티 마시는 프리바이오틱스 애플소다 350ml', 'C04', 'C09""', '고려은단 알티지 오메가3 60캡슐 (60일분)', '[한정수량] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 증정 기획 (+세안밴드 증정)']","[0.9999996423721313, 0.9999995231628418, 0.9999618530273438, 0.9995096921920776, 0.999065101146698]"
M0000017208233,"['C02', '칼로바이 퍼펙트 파워쉐이크 20G  ( 바닐라맛/초코바나나맛 )', '메디힐 캡슐100 바이오 세컨덤 하이드로 베타', 'C11""', 'C05""']","[1.0, 0.9999798536300659, 0.9999793767929077, 0.9997963309288025, 0.9994114637374878]"
M0000013354336,"['[4월 올영PICK/(미니 증정기획)] 페리페라 잉크더벨벳AD', 'C10""', '티타니아 샌드풋파일', '라이아 모발코어강화 고영양 단백질크림 헤어 트리트먼트 200ml', 'C05']","[1.0, 0.9999946355819702, 0.9999817609786987, 0.9997112154960632, 0.9723072648048401]"
M0000012365495,"['바이오티 마시는 프리바이오틱스 애플소다 350ml', '고려은단 알티지 오메가3 60캡슐 (60일분)', '아크네스 3초 진정 패치 2종 택1', 'C06""', 'C11""']","[1.0, 0.9999974966049194, 0.9999771118164062, 0.9999691247940063, 0.9999251365661621]"
M0000020614742,"['고려은단 알티지 오메가3 60캡슐 (60일분)', 'W.DRESSROOM 퍼퓸 핸드크림 No.30 화이트머스크 50ml', '아크네스 3초 진정 패치 2종 택1', '티타니아 샌드풋파일', '[NEW] 더프트앤도프트 시그니처/니치 바디퍼퓸미스트 80ml 4종 택1']","[1.0, 0.9997217059135437, 0.9899936318397522, 0.9778105020523071, 0.9541225433349609]"
M0000016017452,"['C04', '[NEW] 넘버즈인 3번 녹차숯 모공말끔 클렌징팩밤 85g', '에스리턴 프로틴 브라우니바 초코 50g', '칼파제르 밀크 초콜릿150g', '에뛰드 컬픽스 마스카라 ']","[0.9999998807907104, 0.9999995231628418, 0.9999898672103882, 0.9999804496765137, 0.9992486834526062]"
